mktrf,smb,hml,rmw,cma,rf,umd,dateff
0.049700,-0.018200,-0.014400,0.012200,-0.000700,0.00450,0.018700,31/01/1997
-0.004800,-0.025400,0.056100,0.007200,0.034700,0.00390,-0.021800,28/02/1997
-0.050200,-0.004100,0.033900,0.003900,0.015300,0.00430,0.008800,31/03/1997
0.040400,-0.057000,0.000000,0.033600,-0.010200,0.00430,0.048300,30/04/1997
0.067300,0.046800,-0.041100,-0.010400,-0.027600,0.00490,-0.051900,30/05/1997
0.041000,0.011700,0.014400,0.005600,0.004500,0.00370,0.025900,30/06/1997
0.073100,-0.027400,0.001300,0.001800,-0.025600,0.00430,0.037000,31/07/1997
-0.040900,0.075000,0.011300,-0.010200,-0.001700,0.00410,-0.025700,29/08/1997
0.053400,0.024800,0.002400,-0.015800,-0.009300,0.00440,0.014600,30/09/1997
-0.038100,-0.005600,0.023300,0.007500,0.020100,0.00420,-0.005300,31/10/1997
0.029900,-0.050100,0.012200,0.030800,0.017300,0.00390,0.003800,28/11/1997
0.013600,-0.020900,0.037400,0.006400,0.019500,0.00480,0.039100,31/12/1997
0.001400,-0.012800,-0.016800,0.009100,-0.006200,0.00430,0.000500,30/01/1998
0.070400,0.000500,-0.009300,-0.003700,-0.025800,0.00390,-0.011900,27/02/1998
0.047600,-0.007300,0.013800,-0.005500,-0.002300,0.00390,0.021300,31/03/1998
0.007400,0.000100,0.010300,-0.016800,-0.003600,0.00430,0.007600,30/04/1998
-0.030500,-0.030000,0.034100,0.010300,0.024700,0.00400,0.019100,29/05/1998
0.032100,-0.036100,-0.020300,-0.002600,-0.030300,0.00410,0.072600,30/06/1998
-0.024200,-0.052000,-0.018300,0.016400,0.007600,0.00400,0.037900,31/07/1998
-0.160500,-0.049700,0.035700,0.033500,0.057800,0.00430,0.019000,31/08/1998
0.061900,-0.008900,-0.035100,-0.018400,-0.028400,0.00460,-0.006500,30/09/1998
0.069800,-0.033600,-0.023300,0.008800,0.001800,0.00320,-0.053300,30/10/1998
0.060700,0.007600,-0.032400,-0.009200,-0.009200,0.00310,0.011300,30/11/1998
0.061500,-0.015000,-0.042500,-0.006900,-0.032600,0.00380,0.088700,31/12/1998
0.034700,-0.008200,-0.044600,-0.028000,-0.064100,0.00350,0.028400,29/01/1999
-0.040800,-0.051500,0.019500,-0.012300,0.040800,0.00350,-0.001400,26/02/1999
0.034800,-0.043700,-0.026100,-0.040500,-0.010700,0.00430,-0.012100,31/03/1999
0.043400,0.045200,0.024000,-0.024700,0.008400,0.00370,-0.089800,30/04/1999
-0.024600,0.037500,0.024900,0.009500,0.031800,0.00340,-0.052500,28/05/1999
0.047700,0.023400,-0.032200,0.009300,-0.029100,0.00400,0.046600,30/06/1999
-0.034900,0.025400,-0.001800,0.002900,0.032700,0.00380,0.017000,30/07/1999
-0.013700,-0.016700,-0.019300,-0.002400,0.007200,0.00390,0.029800,31/08/1999
-0.027700,0.024800,-0.029000,-0.009600,-0.009900,0.00390,0.063800,30/09/1999
0.060900,-0.071300,-0.028800,-0.017500,-0.008700,0.00390,0.054500,29/10/1999
0.034100,0.056900,-0.056500,-0.041800,-0.018400,0.00360,0.054900,30/11/1999
0.076600,0.051000,-0.076600,-0.080000,-0.058700,0.00440,0.131400,31/12/1999
-0.047400,0.042100,-0.011200,-0.061500,0.045600,0.00410,0.018600,31/01/2000
0.024500,0.184600,-0.097700,-0.189500,-0.011300,0.00430,0.180200,29/02/2000
0.052100,-0.155400,0.085000,0.116500,-0.012000,0.00470,-0.068500,31/03/2000
-0.063500,-0.047500,0.064500,0.080700,0.056300,0.00460,-0.086000,28/04/2000
-0.043900,-0.038600,0.045900,0.040500,0.014700,0.00500,-0.089900,31/05/2000
0.046800,0.099500,-0.080400,-0.083100,-0.031700,0.00400,0.166300,30/06/2000
-0.024800,-0.009400,0.080600,0.057200,0.029800,0.00480,-0.001600,31/07/2000
0.070300,-0.009500,-0.013700,-0.030600,0.012100,0.00500,0.055900,31/08/2000
-0.054400,0.002700,0.072400,0.027000,0.055400,0.00510,0.018900,29/09/2000
-0.027800,-0.025800,0.055800,0.095400,0.037100,0.00560,-0.045600,31/10/2000
