summary_period2,crsp_fundno,caldt,nav_latest,nav_latest_dt,tna_latest,tna_latest_dt,yield,div_ytd,cap_gains_ytd,nav_52w_h,nav_52w_h_dt,nav_52w_l,nav_52w_l_dt,unrealized_app_dep,unrealized_app_dt,asset_dt,per_com,per_pref,per_conv,per_corp,per_muni,per_govt,per_oth,per_cash,per_bond,per_abs,per_mbs,per_eq_oth,per_fi_oth,maturity,maturity_dt,cusip8,crsp_cl_grp,fund_name,ticker,ncusip,mgmt_name,mgmt_cd,mgr_name,mgr_dt,adv_name,open_to_inv,retail_fund,inst_fund,m_fund,index_fund_flag,vau_fund,et_flag,delist_cd,first_offer_dt,end_dt,dead_flag,merge_fundno,crsp_portno,actual_12b1,max_12b1,mgmt_fee,exp_ratio,turn_ratio,fiscal_yearend,crsp_obj_cd,si_obj_cd,accrual_fund,sales_restrict,wbrger_obj_cd,policy,lipper_class,lipper_class_name,lipper_obj_cd,lipper_obj_name,lipper_asset_cd,lipper_tax_cd
AQ,002756,31/12/2001,8.9300000,31/12/2001,3.800,31/12/2001,,,,9.3600000,12/12/2001,6.3500000,21/09/2001,,31/12/2001,,,,,,,,,,,,,,,,,01721685,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,017216854,ABN AMRO ASSET MGMT INC,ABN,Houlton/Mercer,01/01/2000,VEREDUS ASSET MGMT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,,0.002500,,-1.080000,0.015000,4.970000,31/10/2002,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,31/12/2002,4.7700000,31/12/2002,1.200,31/12/2002,,,,9.5900000,04/01/2002,4.3100000,09/10/2002,,31/12/2002,,,,,,,,,,,,,,,,,00078H23,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,ABN AMRO ASSET MANAGEMENT,ABN,"Mercer, Jr./Mccurdy, Jr.",01/01/2001,VEREDUS ASSET MGMT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,,0.002500,,-1.933000,0.015700,4.930000,31/10/2003,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,31/12/2003,7.3400000,31/12/2003,5.500,31/12/2003,,,,7.3700000,30/12/2003,4.6000000,11/03/2003,,31/12/2003,31/10/2003,82.39,0,0,0,0,0,0,17.61,0,0,0,0,0,,,00078H23,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,ABN AMRO ASSET MANAGEMENT (USA) LLC,ABN,"Mercer, Jr./McCurdy, Jr.",01/01/2001,VEREDUS ASSET MANAGEMENT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,1004105,0.002500,,0.302000,0.016000,2.510000,31/10/2004,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,31/12/2004,7.3700000,31/12/2004,6.900,31/12/2004,,,,8.2600000,20/01/2004,6.3100000,13/08/2004,,30/09/2004,31/10/2004,94.93,0,0,0,0,0,0,5.07,0,0,0,0,0,,,00078H23,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,ABN AMRO ASSET MANAGEMENT (USA) LLC,ABN,"McCurdy, Jr./Mercer, Jr.",01/01/2001,VEREDUS ASSET MANAGEMENT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,1004105,0.002500,,-0.063000,0.016000,2.370000,31/10/2005,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,30/12/2005,7.3200000,30/12/2005,4.700,30/12/2005,,,,7.7500000,06/12/2005,6.2600000,15/04/2005,,30/12/2005,31/10/2005,86.74,0,0,0,0,0,0,13.26,0,0,0,0,0,,,00078H23,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,ABN AMRO ASSET MANAGEMENT INC,ABN,"McCurdy, Jr./Mercer, Jr.",01/01/2001,VEREDUS ASSET MANAGEMENT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,1004105,0.002500,0.002500,-0.077000,0.016000,2.390000,31/10/2006,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,29/12/2006,7.3500000,29/12/2006,3.600,29/12/2006,,,,8.6400000,05/05/2006,6.6800000,11/08/2006,,29/12/2006,31/10/2006,98.25,0,0,0,0,0,0,1.75,0,0,0,0,0,,,00078H23,,ABN AMRO Funds: ABN AMRO/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,ABN AMRO ASSET MANAGEMENT INC,ABN,"McCurdy, Jr./Mercer, Jr.",01/01/2001,VEREDUS ASSET MANAGEMENT LLC,Y,Y,N,N,,N,,,30/06/2000,31/03/2008,Y,,1004105,0.002500,0.002500,-0.972000,0.016000,1.650000,31/10/2007,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002756,31/12/2007,8.4100000,31/12/2007,2.600,31/12/2007,,,,8.9800000,06/11/2007,7.1600000,05/03/2007,,31/12/2007,30/11/2007,101.94,0,0,0,0,0,0,-1.94,0,0,0,0,0,,,00078H23,,Aston Funds: Aston/Veredus SciTech Fund; Class N Shares,AVSTX,00078H232,Aston Funds,ASM,"McCurdy, Jr./Mercer, Jr.",01/01/2001,VEREDUS ASSET MANAGEMENT LLC,Y,Y,N,N,,N,,L,30/06/2000,31/03/2008,Y,,1004105,,,,,,,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002834,31/12/2002,6.9000000,31/12/2002,0.100,31/12/2002,,,,12.1200000,04/01/2002,5.3500000,09/10/2002,,,,,,,,,,,,,,,,,,,00104376,2000436,"AFBA 5Star Fund, Inc: AFBA 5Star Science & Technology Fund; Class C Shares",AFCTX,001043769,AFBA 5 STAR INV MGMT CO,AFF,Tom Laming,01/01/2001,AFBA 5 STAR INV MGMT CO,Y,Y,N,N,,N,,,12/10/2001,26/02/2010,Y,010932,,0.010000,,-1.155000,0.020800,0.190000,31/03/2003,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002834,31/12/2003,11.1700000,31/12/2003,0.100,31/12/2003,,,,11.3000000,01/12/2003,6.3100000,11/03/2003,,31/12/2003,31/10/2003,98.17,0,0,0,0,0,0,1.83,0,0,0,0,0,,,00104376,2000436,"AFBA 5Star Fund, Inc: AFBA 5Star Science & Technology Fund; Class C Shares",AFCTX,001043769,AFBA 5 STAR INV MGMT CO,AFF,Tom Laming,01/01/2001,AFBA 5 STAR INV MGMT CO,Y,Y,N,N,,N,,,12/10/2001,26/02/2010,Y,010932,1002159,0.010000,,-0.777000,0.022700,0.440000,31/03/2004,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
AQ,002834,31/12/2004,12.3400000,31/12/2004,0.500,31/12/2004,,,0.02055000000,12.7200000,05/04/2004,10.2800000,12/08/2004,,30/09/2004,31/10/2004,95.79,0,0,0,0,0,0,4.21,0,0,0,0,0,,,00104376,2000436,"AFBA 5Star Fund, Inc: AFBA 5Star Science & Technology Fund; Class C Shares",AFCTX,001043769,AFBA 5STAR INVESTMENT MANAGEMENT CO,AFF,Team Managed,,AFBA 5STAR INVESTMENT MANAGEMENT CO,Y,Y,N,N,,N,,,12/10/2001,26/02/2010,Y,010932,1002159,0.010000,,-0.722000,0.022800,0.480000,31/03/2005,EDST,,N,N,,,TK,Science & Technology Funds,TK,Science & Technology Funds,EQ,Taxable
