"caldt","crsp_fundno","mtna","mret","mnav"
"31/05/2000",2756,"0.100","",""
"30/06/2000",2756,"2.000","R","10.0000000"
"31/07/2000",2756,"2.300","-0.053000","9.4700000"
"31/08/2000",2756,"2.800","0.062302","10.0600000"
"29/09/2000",2756,"2.800","-0.056695","9.4700000"
"31/10/2000",2756,"2.700","-0.058078","8.9200000"
"30/11/2000",2756,"2.500","-0.043722","8.5300000"
"29/12/2000",2756,"2.700","0.070801","9.0900000"
"31/01/2001",2756,"3.000","-0.007701","9.0200000"
"28/02/2001",2756,"2.500","-0.110865","8.0200000"
"30/03/2001",2756,"2.400","-0.074816","7.4000000"
"30/04/2001",2756,"2.500","0.054054","7.8000000"
"31/05/2001",2756,"2.500","-0.029487","7.5700000"
"29/06/2001",2756,"2.600","0.054161","7.9800000"
"31/07/2001",2756,"2.600","-0.008772","7.9100000"
"31/08/2001",2756,"2.500","-0.056890","7.4600000"
"28/09/2001",2756,"2.200","-0.101877","6.7000000"
"31/10/2001",2756,"2.600","0.129851","7.5700000"
"30/11/2001",2756,"3.200","0.125495","8.5200000"
"31/12/2001",2756,"3.800","0.048122","8.9300000"
"31/01/2002",2756,"3.600","-0.022396","8.7300000"
"28/02/2002",2756,"3.000","-0.186712","7.1000000"
"28/03/2002",2756,"3.000","0.102817","7.8300000"
"30/04/2002",2756,"3.000","-0.131545","6.8000000"
"31/05/2002",2756,"2.800","-0.070588","6.3200000"
"28/06/2002",2756,"2.600","-0.091772","5.7400000"
"31/07/2002",2756,"2.500","-0.108014","5.1200000"
"30/08/2002",2756,"2.400","-0.025391","4.9900000"
"30/09/2002",2756,"2.200","-0.084168","4.5700000"
"31/10/2002",2756,"2.200","0.070022","4.8900000"
"29/11/2002",2756,"2.400","0.061350","5.1900000"
"31/12/2002",2756,"1.200","-0.080925","4.7700000"
"31/01/2003",2756,"1.400","0.033543","4.9300000"
"28/02/2003",2756,"1.400","-0.010142","4.8800000"
"31/03/2003",2756,"1.400","-0.026639","4.7500000"
"30/04/2003",2756,"1.500","0.088421","5.1700000"
"30/05/2003",2756,"1.800","0.145068","5.9200000"
"30/06/2003",2756,"1.900","-0.005068","5.8900000"
"31/07/2003",2756,"2.200","0.066214","6.2800000"
"29/08/2003",2756,"2.700","0.081210","6.7900000"
"30/09/2003",2756,"3.300","-0.022091","6.6400000"
"31/10/2003",2756,"4.300","0.081325","7.1800000"
"28/11/2003",2756,"5.000","0.000000","7.1800000"
"31/12/2003",2756,"5.500","0.022284","7.3400000"
"30/01/2004",2756,"7.400","0.069482","7.8500000"
"27/02/2004",2756,"8.400","-0.008917","7.7800000"
"31/03/2004",2756,"8.600","0.001285","7.7900000"
